Request_ID,Department,Requester,Request_Date,Approval_Delay_Days,PO_Creation_Delay_Days,Total_Cycle_Time_Days,Status,Error_Flag,Items_Requested
REQ001,Operations,User_5,11/24/2023,1,1,2,Approved,TRUE,2
REQ002,Marketing,User_2,12/13/2023,6,5,11,Rejected,FALSE,1
REQ003,HR,User_18,2/17/2023,2,2,4,Rejected,TRUE,4
REQ004,Finance,User_19,11/29/2023,6,5,11,Approved,FALSE,5
REQ005,Finance,User_5,1/4/2023,7,2,9,Pending,FALSE,4
REQ006,Finance,User_12,6/22/2023,1,1,2,Approved,FALSE,10
REQ007,Finance,User_13,5/16/2023,7,1,8,Rejected,TRUE,2
REQ008,Operations,User_3,10/10/2023,3,5,8,Rejected,TRUE,1
REQ009,Marketing,User_13,12/5/2023,2,3,5,Approved,TRUE,5
REQ010,IT,User_7,8/21/2023,6,3,9,Pending,FALSE,5
REQ011,HR,User_18,12/26/2023,6,1,7,Rejected,TRUE,4
REQ012,Operations,User_11,3/25/2023,4,4,8,Rejected,TRUE,1
REQ013,Operations,User_3,4/28/2023,7,1,8,Pending,FALSE,4
REQ014,IT,User_13,10/18/2023,6,3,9,Rejected,FALSE,8
REQ015,IT,User_19,3/15/2023,3,2,5,Rejected,FALSE,7
REQ016,IT,User_3,10/26/2023,4,3,7,Approved,FALSE,1
REQ017,Finance,User_13,2/26/2023,2,2,4,Rejected,TRUE,7
REQ018,Operations,User_4,11/2/2023,4,5,9,Rejected,TRUE,9
REQ019,Marketing,User_6,5/17/2023,7,3,10,Pending,FALSE,8
REQ020,HR,User_10,1/2/2023,6,3,9,Approved,TRUE,9
REQ021,Operations,User_20,11/8/2023,2,2,4,Approved,TRUE,6
REQ022,Operations,User_2,9/8/2023,1,1,2,Pending,TRUE,4
REQ023,Finance,User_5,10/18/2023,1,1,2,Approved,TRUE,8
REQ024,HR,User_7,10/9/2023,2,3,5,Rejected,FALSE,9
REQ025,Finance,User_15,12/20/2023,2,3,5,Rejected,FALSE,9
REQ026,IT,User_1,8/20/2023,1,2,3,Approved,FALSE,10
REQ027,IT,User_2,10/11/2023,2,5,7,Approved,TRUE,4
REQ028,Marketing,User_9,2/4/2023,1,3,4,Rejected,TRUE,8
REQ029,HR,User_8,4/20/2023,5,2,7,Rejected,FALSE,8
REQ030,Marketing,User_12,7/28/2023,2,1,3,Rejected,FALSE,7
REQ031,Marketing,User_11,7/30/2023,4,1,5,Approved,FALSE,2
REQ032,HR,User_14,5/8/2023,2,2,4,Pending,TRUE,3
REQ033,Marketing,User_2,5/23/2023,4,2,6,Pending,TRUE,9
REQ034,IT,User_16,1/8/2023,1,2,3,Pending,FALSE,4
REQ035,Finance,User_9,7/25/2023,1,2,3,Approved,FALSE,8
REQ036,Finance,User_10,5/27/2023,4,5,9,Approved,TRUE,4
REQ037,Marketing,User_2,1/30/2023,5,5,10,Rejected,FALSE,1
REQ038,HR,User_17,10/27/2023,4,5,9,Approved,TRUE,2
REQ039,Marketing,User_13,4/6/2023,1,5,6,Rejected,TRUE,2
REQ040,HR,User_14,10/19/2023,2,5,7,Approved,TRUE,10
REQ041,Operations,User_8,10/17/2023,5,3,8,Approved,FALSE,5
REQ042,Finance,User_1,7/22/2023,2,3,5,Pending,TRUE,8
REQ043,Marketing,User_17,11/15/2023,5,1,6,Rejected,TRUE,5
REQ044,IT,User_6,3/9/2023,3,1,4,Pending,FALSE,8
REQ045,HR,User_18,10/6/2023,6,3,9,Rejected,TRUE,5
REQ046,Operations,User_18,12/6/2023,1,2,3,Approved,TRUE,3
REQ047,IT,User_7,5/20/2023,3,5,8,Rejected,FALSE,5
REQ048,Marketing,User_9,9/16/2023,4,3,7,Approved,FALSE,1
REQ049,Operations,User_18,1/2/2023,3,2,5,Approved,FALSE,7
REQ050,Marketing,User_18,10/15/2023,1,1,2,Rejected,TRUE,1
